,DNN,V_nn,C,C_tile,V,num computation,read latency,write latency,ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),SubArray Write(ns)
0,cDeepArchContext,263872.0,1296,9,19,341221000.0,495700.0,291494.0,134400.0,65251.2,14408.2,298698.0,19558.5,141.575,254736.52500000002
1,cDeepArchObject,366272.0,1296,9,19,341426000.0,495700.0,305778.0,134400.0,65251.2,14408.2,298698.0,19558.5,195.469,268966.63099999994
2,DeepEarInputLayer,233472.0,288,2,1,466944.0,1565.55,94436.5,298.667,8.74754,51.7562,84548.7,3682.22,122.881,7289.078260000009
3,DeepEarAmbientScene,2102270.0,720,5,1,4204540.0,4146.98,845141.0,1792.0,158.657,264.559,376342.0,13734.6,1106.46,455889.70399999997
4,DeepEarStress,2100220.0,720,5,1,4200450.0,4146.98,844289.0,1792.0,158.657,264.559,376342.0,13734.6,1105.38,455038.784
5,DeepEarEmotion,2103300.0,720,5,1,4206590.0,4146.98,845563.0,1792.0,158.657,264.559,376342.0,13734.6,1107.0,456311.164
6,DeepEarSpeaker,2121730.0,720,5,1,4243460.0,4146.98,853198.0,1792.0,158.657,264.559,376342.0,13734.6,1116.7,463936.464
7,GaitExtractor,4277250.0,9792,68,681,21554700000.0,5813080.0,9159940.0,904064.0,279165.0,126393.0,2783150.0,1823290.0,2299.69,9054658.309999999
8,GaitIdentifierCNN,80160.0,576,4,4,22118400.0,51880.1,130148.0,8960.0,262.426,2013.95,44869.4,1608.31,45.4232,124268.5908
9,GaitIdentifierLSTM,4218880.0,864,6,17,1080030000.0,443481.0,1138720.0,229376.0,20308.0,38001.1,341616.0,80560.3,2220.53,870119.07
10,GaitIdentifierFC,365328.0,432,3,1,730656.0,1671.24,98949.9,298.667,678.525,35.2564,71170.6,5773.25,192.278,22472.563599999994
11,GaitAuthenticLSTM,114816.0,432,3,1,3670270.0,11190.8,45066.5,3185.78,152.872,485.503,24576.3,1484.42,60.4547,26311.970300000004
12,LeNet,61470.0,720,5,1,1293840.0,25124.0,41279.7,7168.0,83.4612,808.419,19152.7,763.855,34.4158,38392.849
13,AlexNet,46778400.0,8928,62,47,5305610000.0,1293370.0,7975450.0,289109.0,189299.0,42307.8,714577.0,271554.0,24831.5,7737141.7
14,VGG8,12973400.0,3312,23,36,1231840000.0,847274.0,2489880.0,268800.0,78298.1,32324.0,402810.0,109060.0,6832.44,2439029.46
# 15,VGG16,140114000.0,22032,153,991,25391500000.0,47376200.0,39714300.0,7359740.0,2097350.0,789010.0,20596900.0,16765000.0,74166.5,39408333.5
16,ResNet18,11678900.0,4608,32,267,5492290000.0,2220830.0,5965060.0,435456.0,124094.0,68330.7,1527590.0,371819.0,6701.37,5651898.93
17,DenseNet40,746448.0,5760,40,123,564759000.0,388409.0,2878670.0,89600.0,4299.52,12929.1,233850.0,64427.5,414.425,2861558.455
18,LSTM,800800.0,720,5,86,800800000.0,1631620.0,614229.0,896000.0,79328.3,131280.0,629007.0,33046.7,422.263,476764.73699999996
